[No],[証券コード],[EDINETコード],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,471","6,971","147,855","45,616","102,238","13,158","89,080","-14,688","87,550"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,3,"12,971","3,878","9,093",--,"9,093",178,"9,271"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,149,-890,251,"-1,141",--,"-1,141",307,-833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,151,508,221,286,19,266,-117,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,99,23,75,-4,79,-107,-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,190,"1,422",484,937,--,937,-140,798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,137,845,317,528,--,528,-13,516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,20,663,223,440,1,438,-25,415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,16,"1,674",502,"1,171",--,"1,171",-114,"1,058"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,558","4,089","16,228","8,837","7,391","1,102","6,289","-1,395","5,996"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,729,"1,409",895,514,--,514,-54,460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,"1,175",382,793,--,793,49,843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,--,974,331,643,1,642,22,665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,"1,456",453,"1,003",--,"1,003",181,"1,185"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,"2,832","6,557","2,692","3,865",742,"3,122","2,334","6,200"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,999,"2,149",304,"1,844",6,"1,837",181,"2,026"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,111,"2,293",750,"1,542",32,"1,510",38,"1,581"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,114,"1,502",455,"1,046",3,"1,042",-28,"1,019"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,997,205,791,2,788,4,795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,158,"1,544",501,"1,042",--,"1,042",44,"1,087"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,"9,908","5,721","3,669","2,051",987,"1,064","6,721","8,772"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,171,"2,736","1,010","1,725",17,"1,708",99,"1,824"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
